Rank,Country,Region,Documents,Citable documents,Citations,Self-citations,Citations per document,H index
1,China,Asiatic Region,32241,31964,79267,53427,2.46,324
2,United States,Northern America,14407,13918,43033,14416,2.99,572
3,India,Asiatic Region,12934,12623,26154,11419,2.02,167
4,United Kingdom,Western Europe,4610,4384,17716,3884,3.84,309
5,Japan,Asiatic Region,4349,4216,6794,1988,1.56,187
6,Germany,Western Europe,4113,3965,9692,3473,2.36,247
7,Russian Federation,Eastern Europe,3191,3155,2719,1613,0.85,62
8,Italy,Western Europe,2976,2780,10108,3095,3.4,189
9,Indonesia,Asiatic Region,2710,2685,2354,1284,0.87,40
10,Australia,Pacific Region,2634,2519,13310,2202,5.05,206
